notebook_link,version_link,version_number,notebook_type,has_error,diff
https://www.kaggle.com/aadarshvelu/spaceship-titanic-tensorflow-80,https://www.kaggle.com/code/aadarshvelu/spaceship-titanic-tensorflow-80?scriptVersionId=160655441,1,regular,False,+143 -0
https://www.kaggle.com/aadarshvelu/spaceship-titanic-tensorflow-80,https://www.kaggle.com/code/aadarshvelu/spaceship-titanic-tensorflow-80?scriptVersionId=169188188,2,regular,False,+0 -0
https://www.kaggle.com/abdoashraf90/digit-recognation-with-98-accuracy,https://www.kaggle.com/code/abdoashraf90/digit-recognation-with-98-accuracy?scriptVersionId=163044359,2,regular,False,+11 -44
https://www.kaggle.com/abdoashraf90/digit-recognation-with-98-accuracy,https://www.kaggle.com/code/abdoashraf90/digit-recognation-with-98-accuracy?scriptVersionId=163044476,3,regular,False,+0 -0
https://www.kaggle.com/abdoashraf90/digit-recognation-with-98-accuracy,https://www.kaggle.com/code/abdoashraf90/digit-recognation-with-98-accuracy?scriptVersionId=163045919,4,regular,False,+0 -0
https://www.kaggle.com/abdullah7aled/digit-recognizer-tutorial,https://www.kaggle.com/code/abdullah7aled/digit-recognizer-tutorial?scriptVersionId=134793026,2,regular,False,+52 -66
https://www.kaggle.com/abdullah7aled/digit-recognizer-tutorial,https://www.kaggle.com/code/abdullah7aled/digit-recognizer-tutorial?scriptVersionId=134793909,3,regular,False,+2 -2
https://www.kaggle.com/abedi756/boltzmann-machine,https://www.kaggle.com/code/abedi756/boltzmann-machine?scriptVersionId=119222212,1,regular,False,+17 -0
https://www.kaggle.com/abedi756/boltzmann-machine,https://www.kaggle.com/code/abedi756/boltzmann-machine?scriptVersionId=119224528,3,regular,False,+0 -0
https://www.kaggle.com/abedi756/boltzmann-machine,https://www.kaggle.com/code/abedi756/boltzmann-machine?scriptVersionId=120760149,4,regular,False,+0 -0
https://www.kaggle.com/aezersx/digits-recog,https://www.kaggle.com/code/aezersx/digits-recog?scriptVersionId=164133906,2,regular,False,+0 -0
https://www.kaggle.com/aezersx/digits-recog,https://www.kaggle.com/code/aezersx/digits-recog?scriptVersionId=164133984,3,regular,False,+1 -1
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,https://www.kaggle.com/code/ahmedanwar89/spaceship-titanic-ml?scriptVersionId=139084143,2,regular,False,+12 -2
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,https://www.kaggle.com/code/ahmedanwar89/spaceship-titanic-ml?scriptVersionId=139085034,3,regular,False,+0 -2
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,https://www.kaggle.com/code/ahmedanwar89/spaceship-titanic-ml?scriptVersionId=139117453,5,regular,False,+1 -1
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,https://www.kaggle.com/code/ahmedanwar89/spaceship-titanic-ml?scriptVersionId=139161869,6,regular,False,+8 -130
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,https://www.kaggle.com/code/ahmedanwar89/spaceship-titanic-ml?scriptVersionId=139979552,7,regular,False,+34 -5
https://www.kaggle.com/ahmedgaitani/digit-recognizer-code-dl-tf-vs-pt-99,https://www.kaggle.com/code/ahmedgaitani/digit-recognizer-code-ml?scriptVersionId=185806544,1,regular,False,No diff found
https://www.kaggle.com/ahmedgaitani/digit-recognizer-code-dl-tf-vs-pt-99,https://www.kaggle.com/code/ahmedgaitani/digit-recognizer-code-dl-tf-vs-pt-99?scriptVersionId=187828009,2,regular,False,+69 -87
